DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542